doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
chinh-sach-bao-hanh-shopee,data\shopee_refund\chinh-sach-bao-hanh-shopee.md,Chinh sach bao hanh tren Shopee,https://help.shopee.vn/portal/4/article/77245,2026-09-20,not-stated,public-source
quy-dinh-nguoi-ban-shopee-mall,data\shopee_refund\quy-dinh-nguoi-ban-shopee-mall.md,Quy dinh nguoi ban Shopee Mall ve hoan tien va phi phat sinh,https://help.shopee.vn/portal/4/article/77262,2026-09-20,not-stated,public-source
quy-trinh-tra-hang-hoan-tien,data\shopee_refund\quy-trinh-tra-hang-hoan-tien.md,Quy trinh Shopee xu ly yeu cau tra hang hoan tien,https://help.shopee.vn/portal/4/article/190242,2026-09-20,not-stated,public-source
shopee-dam-bao,data\shopee_refund\shopee-dam-bao.md,Shopee Dam Bao va quyen tra hang hoan tien,https://help.shopee.vn/portal/4/article/79314,2026-09-20,not-stated,public-source
thoi-gian-hoan-tien-huy-don,data\shopee_refund\thoi-gian-hoan-tien-huy-don.md,Thoi gian nhan lai voucher va tien hoan sau huy don,https://help.shopee.vn/portal/4/article/79296,2026-09-20,not-stated,public-source
